the_geom,amenity,name,cartodb_id
0101000020E6100000BB287AE063A00DC0425255B2AD354440,cafe,OVNI,232
0101000020E61000007F51DDB7B5A00DC021B47977BF354440,atm,Telebanco 4B,233
0101000020E6100000814A4B9B609E0DC03F74417DCB354440,atm,Telebanco 4B,234
0101000020E6100000E9E62CFD959F0DC0451D0C2BCB354440,fast_food,Pans & Company,235
0101000020E6100000E2B26554749F0DC01B704C05CB354440,cafe,Starbucks,236
0101000020E610000097B90A73CCA30DC0360186E5CF354440,fast_food,Burger King,237
0101000020E6100000DEB0C80AD9A40DC031838CDBC3354440,cafe,Starbucks,239
0101000020E610000047F1E0DD80A50DC087D80528B2354440,fast_food,Rodilla,240
0101000020E610000011267B3A0DA70DC047382D78D1354440,cinema,Cine Capitol,242
0101000020E61000007F1BBD7559A70DC0CFB3A382D4354440,restaurant,Ginos,243
0101000020E6100000B9C4910722AB0DC0CC71B8A008364440,restaurant,Sirena Verde,246
0101000020E61000001206AFA7679B0DC00017091280344440,pub,Los Gamos,256
0101000020E61000004211418B5B9B0DC00480194284344440,restaurant,Preity Raj,257
0101000020E6100000CC3BF3171F9B0DC01199A8948D344440,pub,La Aguja,258
0101000020E61000003F6AB86D849A0DC03AA5CD829A344440,restaurant,A Cañada,259
0101000020E6100000D74E9484449A0DC0CC947B26A0344440,restaurant,Raja Mahal,260
0101000020E6100000AE7FD767CE9A0DC014611E8D9E344440,restaurant,Moharaj,261
0101000020E6100000055C46A0B09A0DC0A2C49DC195344440,restaurant,Nap,262
0101000020E610000020C0D831649B0DC04ACDC3AE92344440,restaurant,Bombay Palace,263
0101000020E6100000181A99918B9B0DC0C8C6CDBA90344440,restaurant,Moharaj,264
0101000020E6100000FFAB3363769B0DC0329067976F344440,pub,La Inquilina,265
0101000020E61000006B96708D749B0DC09BE9B9E067344440,pub,Viva Chapata,266
0101000020E610000077DC4B755C980DC035FFF9C78C344440,pub,El 15,268
0101000020E6100000E494CA259F980DC07AB3BC6191344440,restaurant,El Aperitivo del Corazón,269
0101000020E610000091C140C692980DC03DEBBF7394344440,cafe,El Despertar,270
0101000020E6100000336486D73F990DC089E4750EAF344440,nightclub,La Ventura,271
0101000020E61000007AD278D8FA980DC07E9E5099AC344440,cafe,El Colmo,272
0101000020E6100000EE450FD7C5980DC0EEC38BCFAE344440,pub,F.M.,273
0101000020E61000005C85DE2C6F980DC0BA4670C8AB344440,restaurant,O'Barquiño,274
0101000020E61000007C9E9A26C7980DC03E7CF4E1B4344440,pub,Lamiak,275
0101000020E6100000C05AB56B429A0DC0BC13A232B4344440,restaurant,La Temeraria,276
0101000020E6100000AF5DDA70589A0DC01CB28174B1344440,restaurant,El Dinosaurio,277
0101000020E6100000661EAFF6669A0DC0A1F831E6AE344440,pub,Bodegas Alfaro,278
0101000020E61000008336943545FB0CC0514F1F813F3A4440,restaurant,Gino's,281
0101000020E61000006420CF2EDFFA0CC039F9E3AC3E3A4440,restaurant,Wok,282
0101000020E61000003936F1C462FA0CC00A4D6D043D3A4440,restaurant,Vips,283
0101000020E61000003A460D011BFB0CC0002258B0E8374440,restaurant,Como Como Slow Food,284
0101000020E6100000AD5E8FD321210DC016BD5301F7384440,restaurant,Restaurante Pico Pico,287
0101000020E6100000346612F5821F0DC036ABE39DE8384440,restaurant,Asador Rías Bajas,288
0101000020E6100000ACF58FCF751B0DC01EE9C2FEA1384440,restaurant,El Racó,290
